candidate,case_id,case_index,collision_event_error,disagreement_mse,disagreement_pixel_frechet,disagreement_ssim_error,disagreement_temporal_gradient_mse,energy_drift,exact_miss_mse,exact_miss_pixel_frechet,exact_miss_ssim_error,exact_miss_temporal_gradient_mse,failed_collision_event_error,failed_energy_drift,failed_kinematic_residual,failed_momentum_drift,failed_position_rmse,failed_velocity_rmse,initial_condition_error,kinematic_residual,model_seed,momentum_drift,mse,partial_error,pixel_frechet,position_rmse,post_contact_position_rmse,psnr,ratio_to_random_mse,ratio_to_random_pixel_frechet,ratio_to_random_ssim_error,ratio_to_random_temporal_gradient_mse,ssim,ssim_error,state_failure,temporal_gradient_mse,velocity_rmse
analytic-oracle,test-0174,174,0.0,False,False,False,False,7.494730840174703e-16,False,False,False,False,False,False,False,False,False,False,0.0,0.027604927434678846,,1.802864771313869e-17,0.0,False,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0
persistence,test-0174,174,1.0,False,True,False,True,0.0,False,False,False,False,True,False,True,False,False,True,0.0,0.5443047100877203,,0.0,0.01070336066186428,True,0.005602235901735476,0.0328030251827846,0.032545651557951305,19.70479840282244,0.5079392200822186,0.11006420102816507,0.5084523677859422,0.013798729118839875,0.510184147730029,0.48981585226997104,True,0.00029395800083875656,0.7805610135081945
linear-extrapolation,test-0174,174,1.0,False,True,False,True,0.0,False,False,False,False,True,False,False,False,True,True,0.0,1.915292388379617e-14,,0.0,0.007442071568220854,True,0.0012369568727571196,0.05083933420963052,0.07077545826901668,21.2830615781167,0.35317132138007795,0.024301845244348735,0.39277021072121543,0.012770054158815028,0.6216261587129394,0.37837384128706064,True,0.0002720438642427325,0.7805610135081945
learned-seed-11,test-0174,174,1.0,False,True,False,True,183.34374010008452,False,False,False,False,True,True,True,True,True,True,0.0,4.067413749482742,11,13.186314889432593,0.017455728724598885,True,0.006082912157656907,0.12338456175703391,0.1644318642079514,17.580620159723484,0.8283799373341125,0.11950779622643457,0.8251433220399758,0.055078491679362185,0.20510099836915244,0.7948990016308476,True,0.0011733517749235034,4.3433823098663105
learned-seed-29,test-0174,174,1.0,False,True,False,True,8.004836396728804,False,False,False,False,True,True,True,True,False,True,0.0,1.2315988647126945,29,3.057691842136586,0.009004879742860794,True,0.0011479642901191544,0.028706807498478565,0.035746526021372564,20.45522082662405,0.4273360244525486,0.022553454480859766,0.42596830411706504,0.014881457862934534,0.5896448888031648,0.4103551111968352,True,0.0003170236595906317,1.3615369456635238
learned-seed-47,test-0174,174,0.0,False,True,False,True,2.076226500343665,False,False,False,False,False,True,True,True,False,True,0.0,0.577227340895782,47,1.482563606496256,0.009957890026271343,True,0.003147081091027372,0.03288662042487222,0.036525627887711534,20.018326743296136,0.47256212823232857,0.061829057528168516,0.4705975972725599,0.014425282232722549,0.5466514116396005,0.4533485883603995,True,0.00030730562866665423,0.922592399366052
analytic-oracle,test-0175,175,0.0,False,False,False,False,1.233310559710942e-15,False,False,False,False,False,False,False,False,False,False,0.0,0.005466727345792935,,0.0,0.0,False,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0
persistence,test-0175,175,1.0,False,True,False,True,0.0,False,False,False,False,True,False,True,False,False,True,0.0,0.47439367960915535,,0.0,0.013278311118483543,True,0.005233898949546259,0.03503426939750607,0.03707991499411104,18.768571597998324,0.5454713583767083,0.06179753024370604,0.5419732754624883,0.010423105675231914,0.4825893607274307,0.5174106392725693,True,0.0002570254437159747,0.6392445219590113
linear-extrapolation,test-0175,175,1.0,False,True,False,True,0.0,False,False,False,False,True,False,False,False,False,True,0.0,2.0482975438277834e-14,,0.0,0.006574552971869707,True,0.0028149613640120873,0.03778492434943434,0.05584588835208084,21.821337711196197,0.2700818129869939,0.03323672499303446,0.3153962200387297,0.007876736457446657,0.6988977737045525,0.3011022262954475,True,0.0001942340168170631,0.6392445219590113
learned-seed-11,test-0175,175,1.0,False,True,False,True,37.181557135913664,False,False,False,False,True,True,True,True,False,True,0.0,2.1725776557447416,11,5.944023417044084,0.011407943442463875,True,0.004032731572596545,0.04723880742843771,0.06665295806250082,19.427926406028984,0.46863688840543605,0.04761514383916184,0.5178183704758249,0.021278815001986206,0.5056495472653234,0.4943504527346766,True,0.0005247185472398996,2.3214994652107377
learned-seed-29,test-0175,175,0.0,False,False,False,True,1001.0841900643318,False,False,False,False,False,True,True,True,True,True,0.0,3.8820115780968383,29,21.199367852435053,0.01454702764749527,True,0.02656414214686198,0.14948044523330536,0.21940098016759943,18.372257357614156,0.5975900745522671,0.3136473198171172,0.6212725220311488,0.1430532222427595,0.4068840156144066,0.5931159843855933,True,0.003527577966451645,5.173357804814256
learned-seed-47,test-0175,175,0.0,True,True,True,True,13.846252598685806,False,False,False,False,False,True,True,True,False,True,0.0,0.8724473787369391,47,3.761433506649913,0.006001306232064962,True,0.00028659432864658633,0.01772370111922569,0.02351931857082227,22.217542116770407,0.246532908683114,0.0033838677175354035,0.2455763530106942,0.015123058293696706,0.7655533518824141,0.23444664811758587,True,0.00037292251363396645,0.9977871523759119
analytic-oracle,test-0176,176,0.0,False,False,False,False,3.55149163827487e-16,False,False,False,False,False,False,False,False,False,False,0.0,0.01662110161625301,,0.0,0.0,False,1.5482407023093003e-16,0.0,0.0,120.0,0.0,4.0260159999890954e-15,0.0,0.0,1.0,0.0,False,0.0,0.0
persistence,test-0176,176,1.0,False,True,False,True,0.0,False,False,False,False,True,False,True,False,False,True,0.0,0.5591131627930964,,0.0,0.008519215509295464,True,0.0030559790672838763,0.02825244367008834,0.02708974300405391,20.696003953354428,0.47184377318291587,0.0794671048381902,0.4710705062234753,0.015939724532973286,0.5471169005071531,0.4528830994928469,True,0.0002912112686317414,0.8485323193670262
linear-extrapolation,test-0176,176,1.0,False,True,False,True,0.0,False,False,False,False,True,False,False,False,True,True,0.0,2.5501019811048046e-14,,0.0,0.007716688327491283,True,0.0012615743830222425,0.06250193721084321,0.08212674875796544,21.125690402948393,0.42739514371331677,0.03280574295487832,0.46310408162785904,0.01782528871488347,0.5547757520274119,0.4452242479725881,True,0.0003256596392020583,0.8485323193670262
learned-seed-11,test-0176,176,1.0,False,True,False,True,31.98450838085444,False,False,False,False,True,True,True,True,True,True,0.0,2.391406463235484,11,5.59569247443744,0.009921831078827381,True,0.001829945208102245,0.057061706523428665,0.07466407785566896,20.034081711879242,0.5495287926463778,0.04758555098011621,0.5524299521657221,0.019486333445108514,0.46889863473895926,0.5311013652610408,True,0.00035600614501163363,2.557599169662405
